year;code;city;type;GDP;GDPPC
2010;1503705;Itupiranga;Centro Local;241334,392;4708,23
2010;1503754;Jacareacanga;Centro Local;99660,359;7098,32
2010;1503804;Jacundá;Centro Local;263119,36;5121,54
2010;1503903;Juruti;Centro Local;480751,584;10202,06
2010;1504000;Limoeiro do Ajuru;Centro Local;193959,718;7749,71
2010;1504059;Mãe do Rio;Centro Local;174971,916;6273,19
2010;1504109;Magalhães Barata;Centro Local;34470,811;4247,79
2010;1504208;Marabá;Capital Regional;3458624,643;14814,51
2010;1504307;Maracanã;Centro Local;112321,764;3958,34
2010;1504406;Marapanim;Centro Local;100430,221;3774,86
2010;1504422;Marituba;Metrópole;732170,624;6763,64
2010;1504455;Medicilândia;Centro Local;258217,912;9409,59
2010;1504505;Melgaço;Centro Local;69232,354;2792,87
2010;1504604;Mocajuba;Centro Local;128841,168;4817,39
2010;1504703;Moju;Centro Local;398706,134;5702,24
2010;1504802;Monte Alegre;Centro de Zona;394236,234;7108,61
2010;1504901;Muaná;Centro Local;140603,967;4106,78
2010;1504950;Nova Esperança do Piriá;Centro Local;98465,427;4884,44
2010;1504976;Nova Ipixuna;Centro Local;67353,644;4599,09
2010;1505007;Nova Timboteua;Centro Local;56295,983;4121,23
2010;1505031;Novo Progresso;Centro Local;293612,911;11694,93
2010;1505064;Novo Repartimento;Centro Local;347950,987;5600,91
2010;1505106;Óbidos;Centro Local;363168,529;7373,38
2010;1505205;Oeiras do Pará;Centro Local;154221,598;5393,31
2010;1505304;Oriximiná;Centro Local;1635545,137;25976,29
2010;1505403;Ourém;Centro Local;90156,01;5532,4
2010;1505437;Ourilândia do Norte;Centro Local;326028,765;11828,06
2010;1505486;Pacajá;Centro Local;224947,177;5616,38
2010;1505494;Palestina do Pará;Centro Local;36046,261;4814,51
2010;1505502;Paragominas;Centro Subregional;1427238,665;14595,23
2010;1505536;Parauapebas;Centro de Zona;14985169,89;97342,96
2010;1505551;Pau D'Arco;Centro Local;42532,201;7054,6
2010;1505601;Peixe-Boi;Centro Local;28106,12;3572,21
2010;1505635;Piçarra;Centro Local;89211,266;7022,85
2010;1505650;Placas;Centro Local;111569,851;4662,34
2010;1505700;Ponta de Pedras;Centro Local;111425,832;4287,42
2010;1505809;Portel;Centro Local;264771,529;5075,56
2010;1505908;Porto de Moz;Centro Local;131392,385;3870,06
2010;1506005;Prainha;Centro Local;141500,738;4835,15
2010;1506104;Primavera;Centro Local;34878,707;3396,84
2010;1506112;Quatipuru;Centro Local;43000,234;3464,69
2010;1506138;Redenção;Centro Subregional;752442,73;9965,47
2010;1506161;Rio Maria;Centro Local;201449,035;11367,17
2010;1506187;Rondon do Pará;Centro Local;333880,002;7107,76
2010;1506195;Rurópolis;Centro Local;149745,109;3737,27
2010;1506203;Salinópolis;Centro Local;176749,427;4722,13
2010;1506302;Salvaterra;Centro Local;77018,374;3815,81
2010;1506351;Santa Bárbara do Pará;Centro Local;71545,31;4170,77
2010;1506401;Santa Cruz do Arari;Centro Local;33698,442;4128,19
2010;1506500;Santa Izabel do Pará;Centro Local;366697,775;6165,47
2010;1506559;Santa Luzia do Pará;Centro Local;74135,186;3817,07
2010;1506583;Santa Maria das Barreiras;Centro Local;125316,102;7286,67
2010;1506609;Santa Maria do Pará;Centro Local;152533,516;6622,39
2010;1506708;Santana do Araguaia;Centro Local;329767,345;5874,85
2010;1506807;Santarém;Capital Regional;2309691,505;7835,47
2010;1506906;Santarém Novo;Centro Local;24334,587;3960,06
2010;1507003;Santo Antônio do Tauá;Centro Local;136004,751;5098,97
2010;1507102;São Caetano de Odivelas;Centro Local;57871,319;3426,16
2010;1507151;São Domingos do Araguaia;Centro Local;113689,732;4913,13
2010;1507201;São Domingos do Capim;Centro Local;151118,237;5066,49
2010;1507300;São Félix do Xingu;Centro Local;495055,163;5422,71
2010;1507409;São Francisco do Pará;Centro Local;96493,964;6349,96
2010;1507458;São Geraldo do Araguaia;Centro Local;166439,148;6505,6
2010;1507466;São João da Ponta;Centro Local;23155,053;4397,92
2010;1507474;São João de Pirabas;Centro Local;74769,088;3621,83
2010;1507508;São João do Araguaia;Centro Local;54398,241;4137,06
2010;1507607;São Miguel do Guamá;Centro Local;338329,769;6566,07
2010;1507706;São Sebastião da Boa Vista;Centro Local;98323,587;4295,48
2010;1507755;Sapucaia;Centro Local;54126,281;10724,45
2010;1507805;Senador José Porfírio;Centro Local;57736,302;4441,94
2010;1507904;Soure;Centro Local;86847,417;3776,8
2010;1507953;Tailândia;Centro Local;422200,902;5324,16
2010;1507961;Terra Alta;Centro Local;34897,022;3403,26
2010;1507979;Terra Santa;Centro Local;71984,328;4246,36
2010;1508001;Tomé-Açu;Centro Local;335913,012;5943,89
2010;1508035;Tracuateua;Centro Local;95702,985;3484,42
2010;1508050;Trairão;Centro Local;103515,1;6130,6
2010;1508084;Tucumã;Centro de Zona;348357,922;10352,08
2010;1508100;Tucuruí;Centro Subregional;2566105,142;26425
2010;1508126;Ulianópolis;Centro Local;545230,465;12578,85
2010;1508159;Uruará;Centro Local;294588,008;4919,56
2010;1508209;Vigia;Centro de Zona;180174,12;3761,31
2010;1508308;Viseu;Centro Local;237508,911;4190,27
2010;1508357;Vitória do Xingu;Centro Local;92756,227;6881,03
2010;1508407;Xinguara;Centro de Zona;500256,054;12329,78
2010;1600055;Serra do Navio;Centro Local;37563,438;8519,72
2010;1600105;Amapá;Centro Local;77627,678;9697,4
